Ticker,Financial_currentPrice,Financial_totalCash,Financial_totalCashPerShare,Financial_ebitda,Financial_totalDebt,Financial_quickRatio,Financial_currentRatio,Financial_totalRevenue,Financial_debtToEquity,Financial_revenuePerShare,Financial_returnOnAssets,Financial_returnOnEquity,Financial_freeCashflow,Financial_ebitdaMargins,Financial_profitMargins,KeyStats_enterpriseValue,KeyStats_sharesOutstanding,KeyStats_heldPercentInsiders,KeyStats_priceToBook,KeyStats_enterpriseToEbitda,SharePurchase_period,SharePurchase_buyInfoCount,SharePurchase_buyInfoShares,SharePurchase_buyPercentInsiderShares,SharePurchase_sellInfoCount,SharePurchase_sellInfoShares,SharePurchase_sellPercentInsiderShares,SharePurchase_netInfoCount,SharePurchase_netInfoShares,SharePurchase_netPercentInsiderShares,SharePurchase_totalInsiderShares
ATER,0.439,27955000,0.347,-45656000,15378000,0.809,1.78,164712992,36.694,2.13,-0.26087,-1.23468,6035750,-0.27719,-0.52917,22796222,90213296,0.11401,0.8330171,-0.499,6m,8,3867679,0.693,5,259088,0.046,13,3608591,0.64699996,9186563
ATLCZ
ATMC,10.86,56540,0.006,,690000,0.849,0.923,,0.987,,,,,0.0,0.0,98744872,6873430,0.57849,1.4029194,,6m,0,0,,0,,,0,0,,5226194
ATMCR,0.1146,56540,0.006,,690000,0.849,0.923,,0.987,,,,,0.0,0.0,,,,10.418182,,6m,0,0,,0,,,0,0,,0
ATMCU,11.05,56540,0.006,,690000,0.849,0.923,,0.987,,,,,0.0,0.0,100461368,,0.0019400001,1.4274641,,6m,0,0,,0,,,0,0,,17526
ATMCW,0.0165,56540,0.006,,690000,0.849,0.923,,0.987,,,,,0.0,0.0,,,,1.5,,6m,0,0,,0,,,0,0,,0
ATMV,10.85,57843,0.006,,0,0.759,1.385,,,,,,,0.0,0.0,99550584,9180500,0.23189,3616.6667,,6m,0,0,,0,,,0,0,,2128866
ATMVR,0.1151,57843,0.006,,0,0.759,1.385,,,,,,,0.0,0.0,,,,9.591666,,6m,0,0,,0,,,0,0,,0
ATMVU,10.9,57843,0.006,,0,0.759,1.385,,,,,,,0.0,0.0,100009608,,0.0,3633.3333,,6m,0,0,,0,,,0,0,,0
ATNF,3.84,2662520,6.767,-17544284,355101,0.581,0.701,,,,-0.56194997,-3.12044,-6127414,0.0,0.0,-796590,593195,0.047670003,,0.045,6m,50,1202223,5.7190003,18,1393678,6.63,68,-191455,-0.911,18755
ATNFW,0.0066,2662520,6.767,-17544284,355101,0.581,0.701,,,,-0.56194997,-3.12044,-6127414,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ATXI,0.168,161000,0.012,,0,0.035,0.1,,,,-18.95659,,-8170125,0.0,0.0,1192600,37305400,0.12907,,,6m,3,2868581,0.0,1,617000,0.0,4,2251581,-4.157,1709870
AUB^A
AULT,0.4002,11826000,4.301,-50107000,96343000,0.17,0.79,167103008,79.466,1858.889,-0.10406,-0.92265,-16710500,-0.29986,-1.50272,117294440,2822400,0.0029,0.0022127244,-2.341,6m,230,63745170,0.0,6,5494274,0.0,236,58250896,-1.0,7974
AULT^D
AUMN,0.3856,1594000,0.113,-9489000,303000,0.846,1.061,16287000,12.01,2.248,-0.41689998,-1.97663,-4072250,-0.58261,-0.73746,4140052,14084700,0.00345,1.3115647,-0.436,6m,0,0,,0,,,0,0,,48592
AUUD,3.41,2199678,2.757,-7030815,2993639,0.607,0.622,,123.96,,-0.78446,-2.32741,-3301886,0.0,0.0,3514762,818000,0.02,1.1265279,-0.5,6m,0,0,,0,,,0,0,,15957
AUUDW,0.029,2199678,2.757,-7030815,2993639,0.607,0.622,,123.96,,-0.78446,-2.32741,-3301886,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
AUVI,1.68,1546911,2.792,-9483582,13604567,0.252,0.509,37944720,59.787,190.32,-0.14475,-0.80013,14742473,-0.24993,-0.51238,17765114,1246110,0.065120004,0.03681546,-1.873,6m,14,138600,0.254,3,647500,1.1880001,17,-508900,-0.934,36083
